Column,Missing_Count,Missing_Percentage,Unique_Values,Data_Type
Parent Company,340,34.0,60,object
Compliance Certifications,327,32.7,105,object
Lead Owner,199,19.900000000000002,8,object
Tech Stack Signals,198,19.8,618,object
Employee Count,195,19.5,7,object
Revenue,192,19.2,9,object
Intent Score,125,12.5,14,object
Account Tier,119,11.899999999999999,9,object
Region,112,11.200000000000001,8,object
Annual Board Meetings,82,8.200000000000001,12,object
HQ Location,68,6.800000000000001,14,object
SFDC Account ID,36,3.5999999999999996,962,float64
Company Name,0,0.0,1000,object
Last Marketing Touch,0,0.0,537,object
Contact Role/Title,0,0.0,11,object
Website,0,0.0,1000,object
Lead Source,0,0.0,6,object
Solution Interest,0,0.0,4,object
Sub-Industry,0,0.0,14,object
Industry,0,0.0,10,object
Email Domain,0,0.0,1000,object
Status,0,0.0,3,object
